case_id,earliness_avg,true_avg_100,true_avg_1000,adaption_rate_avg,adapt_per_ep,costs_avg,cost_per_ep,rewards_avg,reward_per_ep,true_per_ep,position_adaptation_per_ep,case_length_per_ep
3887.0,0.040150564425852235,0.8712871287128713,0.8771228771228772,0.5346534653465347,1,27.00990099009901,48.0,0.400990099009901,0.0,True,4.0,24.0
3888.0,0.04009395483696469,0.8712871287128713,0.8771228771228772,0.5445544554455446,1,27.415841584158414,41.0,0.3910891089108911,0.0,True,1.0,27.0
3889.0,0.04005059597007642,0.8712871287128713,0.8771228771228772,0.5445544554455446,1,27.415841584158414,41.0,0.3910891089108911,0.0,True,1.0,37.0
3890.0,0.03993948485896531,0.8613861386138614,0.8761238761238761,0.5445544554455446,1,27.792079207920793,79.0,0.38613861386138615,-0.5,False,1.0,72.0
3891.0,0.039751489856231684,0.8613861386138614,0.8761238761238761,0.5544554455445545,1,28.198019801980198,41.0,0.37623762376237624,0.0,True,1.0,34.0
3892.0,0.039751489856231684,0.8613861386138614,0.8761238761238761,0.5544554455445545,0,28.198019801980198,0.0,0.37623762376237624,1.0,True,-1.0,40.0
3893.0,0.03931594394882987,0.8514851485148515,0.8751248751248751,0.5643564356435643,1,28.980198019801982,79.0,0.3613861386138614,-0.5,False,1.0,67.0
3894.0,0.03888438826498305,0.8415841584158416,0.8741258741258742,0.5742574257425742,1,29.762376237623762,79.0,0.3465346534653465,-0.5,False,1.0,70.0
3895.0,0.039331533113611365,0.8514851485148515,0.8751248751248751,0.5742574257425742,1,29.396039603960396,42.0,0.35148514851485146,0.0,True,1.0,23.0
3896.0,0.0392702238356567,0.8514851485148515,0.8751248751248751,0.5841584158415841,1,29.801980198019802,41.0,0.3415841584158416,0.0,True,1.0,28.0
3897.0,0.03912077061011292,0.8514851485148515,0.8751248751248751,0.594059405940594,1,30.207920792079207,41.0,0.3316831683168317,0.0,True,1.0,33.0
3898.0,0.0391701533261623,0.8514851485148515,0.8751248751248751,0.594059405940594,1,30.217821782178216,42.0,0.3316831683168317,0.0,True,1.0,25.0
3899.0,0.03959864933357372,0.8613861386138614,0.8751248751248751,0.5841584158415841,0,29.435643564356436,0.0,0.3465346534653465,1.0,True,-1.0,19.0
3900.0,0.03959864933357372,0.8613861386138614,0.8751248751248751,0.5841584158415841,0,29.435643564356436,0.0,0.3465346534653465,1.0,True,-1.0,31.0
3901.0,0.03959864933357372,0.8613861386138614,0.8751248751248751,0.5841584158415841,0,29.435643564356436,0.0,0.3465346534653465,1.0,True,-1.0,25.0
3902.0,0.03987087563571251,0.8613861386138614,0.8761238761238761,0.5742574257425742,0,29.02970297029703,0.0,0.3564356435643564,1.0,True,-1.0,25.0
3903.0,0.03987087563571251,0.8613861386138614,0.8761238761238761,0.5742574257425742,0,29.02970297029703,0.0,0.3564356435643564,1.0,True,-1.0,21.0
3904.0,0.03970937692770217,0.8514851485148515,0.8751248751248751,0.5742574257425742,1,29.405940594059405,79.0,0.35148514851485146,-0.5,False,1.0,72.0
3905.0,0.0396750385112291,0.8514851485148515,0.8751248751248751,0.5643564356435643,0,28.99009900990099,0.0,0.3613861386138614,1.0,True,-1.0,27.0
3906.0,0.039301270259535684,0.8514851485148515,0.8751248751248751,0.5544554455445545,0,28.564356435643564,0.0,0.3712871287128713,1.0,True,-1.0,25.0
3907.0,0.039301270259535684,0.8514851485148515,0.8751248751248751,0.5544554455445545,0,28.564356435643564,0.0,0.3712871287128713,1.0,True,-1.0,19.0
3908.0,0.03942932854577945,0.8514851485148515,0.8751248751248751,0.5445544554455446,0,28.15841584158416,0.0,0.3811881188118812,1.0,True,-1.0,43.0
3909.0,0.03942932854577945,0.8514851485148515,0.8751248751248751,0.5445544554455446,0,28.15841584158416,0.0,0.3811881188118812,1.0,True,-1.0,31.0
3910.0,0.03942932854577945,0.8514851485148515,0.8751248751248751,0.5445544554455446,0,28.15841584158416,0.0,0.3811881188118812,1.0,True,-1.0,21.0
3911.0,0.039674638791089685,0.8514851485148515,0.8751248751248751,0.5445544554455446,1,28.15841584158416,41.0,0.3811881188118812,0.0,True,1.0,28.0
3912.0,0.039813280106201596,0.8415841584158416,0.8741258741258742,0.5445544554455446,1,28.534653465346533,79.0,0.37623762376237624,-0.5,False,1.0,27.0
3913.0,0.040005900761763066,0.8415841584158416,0.8741258741258742,0.5346534653465347,0,28.128712871287128,0.0,0.38613861386138615,1.0,True,-1.0,27.0
3914.0,0.040005900761763066,0.8415841584158416,0.8741258741258742,0.5346534653465347,0,28.128712871287128,0.0,0.38613861386138615,1.0,True,-1.0,19.0
3915.0,0.03967377766490888,0.8415841584158416,0.8741258741258742,0.5445544554455446,1,28.534653465346533,41.0,0.37623762376237624,0.0,True,1.0,46.0
3916.0,0.03940085741915049,0.8415841584158416,0.8741258741258742,0.5544554455445545,1,28.940594059405942,41.0,0.36633663366336633,0.0,True,1.0,41.0
